id;user_id;place_id;first_checkin_at;last_checkin_at;count_checkins;created_at;deleted_at;visited_at;updated_at
6569;4926;361;05/10/2021 14:46;05/10/2021 16:29;3;05/10/2021 14:46;NULL;05/10/2021 14:46;05/10/2021 16:29
6570;14683;53;05/10/2021 15:41;05/10/2021 15:41;1;05/10/2021 15:41;NULL;05/10/2021 15:41;05/10/2021 15:41
6571;6408;380;05/10/2021 15:59;05/10/2021 15:59;1;05/10/2021 15:59;NULL;05/10/2021 15:59;05/10/2021 15:59
6572;30236;760;05/10/2021 16:21;05/10/2021 16:21;1;05/10/2021 16:21;NULL;05/10/2021 16:21;05/10/2021 16:21
6573;9358;380;05/10/2021 16:25;05/10/2021 16:25;1;05/10/2021 16:25;NULL;05/10/2021 16:25;05/10/2021 16:25
6574;15442;361;05/10/2021 16:29;05/10/2021 16:29;1;05/10/2021 16:29;NULL;05/10/2021 16:29;05/10/2021 16:29
6575;3748;260;05/10/2021 16:30;05/10/2021 16:30;1;05/10/2021 16:30;NULL;05/10/2021 16:30;05/10/2021 16:30
6576;14813;1015;05/10/2021 17:05;05/10/2021 17:05;2;05/10/2021 17:05;NULL;05/10/2021 17:05;05/10/2021 17:05
6577;27439;4032;05/10/2021 17:05;05/10/2021 17:05;1;05/10/2021 17:05;NULL;05/10/2021 17:05;05/10/2021 17:05
6578;30430;384;05/10/2021 17:08;05/10/2021 17:08;1;05/10/2021 17:08;NULL;05/10/2021 17:08;05/10/2021 17:08
6579;27484;4;05/10/2021 17:16;05/10/2021 20:14;3;05/10/2021 17:16;NULL;05/10/2021 17:16;05/10/2021 20:14
6580;16369;4;05/10/2021 17:41;05/10/2021 17:41;1;05/10/2021 17:41;NULL;05/10/2021 17:41;05/10/2021 17:41
6581;7370;4;05/10/2021 17:45;05/10/2021 19:00;2;05/10/2021 17:45;NULL;05/10/2021 17:45;05/10/2021 19:00
6582;27083;380;05/10/2021 18:04;05/10/2021 18:04;1;05/10/2021 18:04;NULL;05/10/2021 18:04;05/10/2021 18:04
6583;16432;380;05/10/2021 18:11;05/10/2021 18:11;2;05/10/2021 18:11;NULL;05/10/2021 18:11;05/10/2021 18:11
6584;14159;4;05/10/2021 18:23;05/10/2021 18:23;1;05/10/2021 18:23;NULL;05/10/2021 18:23;05/10/2021 18:23
6585;4926;18;05/10/2021 18:26;05/10/2021 18:26;1;05/10/2021 18:26;NULL;05/10/2021 18:26;05/10/2021 18:26
6586;961;93;05/10/2021 18:34;05/10/2021 18:34;1;05/10/2021 18:34;NULL;05/10/2021 18:34;05/10/2021 18:34
6587;184;70;05/10/2021 18:38;05/10/2021 18:38;1;05/10/2021 18:38;NULL;05/10/2021 18:38;05/10/2021 18:38
